Tikid,Street_name,House_num,Bloc,Site,Label
04910010,שלומציון המלכה ,1  ,6212 , 1036,low
04910020,שלומציון המלכה ,2  ,6212 , 1037,high
04910030,שלומציון המלכה ,3  ,6212 , 501,high
04910040,שלומציון המלכה ,4  ,6212 , 504,available
04910050,שלומציון המלכה ,5  ,6212 , 500,high
04910060,שלומציון המלכה ,6  ,6212 , 505,low
04910070,שלומציון המלכה ,7  ,6212 , 499,high
04910080,שלומציון המלכה ,8  ,6212 , 506,tama_38
04910090,שלומציון המלכה ,9  ,6212 , 498,low
04910100,שלומציון המלכה ,10  ,6212 , 507,available
04910110,שלומציון המלכה ,11  ,6212 , 497,available
04910120,שלומציון המלכה ,12  ,6212 , 523,available
04910130,שלומציון המלכה ,13  ,6212 , 496,available
04910140,שלומציון המלכה ,14  ,6212 , 222,new
04910150,שלומציון המלכה ,15  ,6212 , 495,available
04910160,שלומציון המלכה ,16  ,6212 , 1253,available
04910170,שלומציון המלכה ,17  ,6212 , 200,available
04910190,שלומציון המלכה ,17  ,6212 , 200,available
04910200,שלומציון המלכה ,20  ,6212 , 234,high
04910210,שלומציון המלכה ,21  ,6212 , 202,available
04910230,שלומציון המלכה ,21  ,6212 , 202,available
04910240,שלומציון המלכה ,24  ,6212 , 236,tama_38
04910250,שלומציון המלכה ,25  ,6212 , 204,low
04910260,ברנדיס ,38  ,6212 , 57,high
04910270,שלומציון המלכה ,27  ,6212 , 205,high
04910280,שלומציון המלכה ,28  ,6212 , 257,available
04910290,שלומציון המלכה ,29  ,6212 , 206,available
04910300,שלומציון המלכה ,30  ,6212 , 258,tama_38
04910310,שלומציון המלכה ,31  ,6212 , 207,available
04910320,שטריקר ,37  ,6212 , 259,available
04910330,שלומציון המלכה ,33  ,6212 , 208,tama_38
04910340,שטריקר ,68  ,6212 , 279,available
04910350,שלומציון המלכה ,33  ,6212 , 208,low
04910360,בובליק ,19  ,6212 , 281,new
04910370,שלומציון המלכה ,37  ,6212 , 31,low
